,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
124,Hotel,9.3,779,Elišky Peškové 11,cz,Prague 5,4,1.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/255648960.jpg?k=81b0a049d638760c877da3953dae0a45d652132945510f448e6de3b951bbd92a&o=
125,Apartment,10.0,472,1 Pařížská 1/1073,cz,Prague 1,3,0.1,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/195032260.jpg?k=8a46e062396e8420cb616f830ea0a1b41df92da5f28a062a53f86d41a50090b3&o=
126,Apartment,0.0,469,Anglická 8,cz,Prague 2,3,1.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/104396928.jpg?k=33a93cec60d47d515903232a97b19283177a975418820792d0584792127da434&o=
127,Residence,9.8,949,Havelska 500/25,cz,Prague 1,4,0.2,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/135842137.jpg?k=0ce3707ec00f55edc25e2114ee367313c5be445fac4cd7f9e7ba26dfca9d2473&o=
128,Hotel,0.0,1277,Jablonskeho 4,cz,Prague 7,4,2.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/79624964.jpg?k=86cf15589bf2a9de100259854f2b1cffe1859b4bd199be809df736c1e417f881&o=
129,Apartment,9.9,337,"16 Michalská Apartment 1-6, 2-4th floor",cz,Prague 1,4,0.2,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/89211447.jpg?k=5d2f909208f0268b755a811e3026dc98b68adee384f20a0fb3dea169449d3345&o=
130,Hotel,0.0,1177,Myslikova 26,cz,Prague 1,3,0.001,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/323161418.jpg?k=30abd5ceebf4bb32de1757f0195fc6d64e80e43f4fa62730b3c3c0c31cd3f587&o=
131,Hotel,0.0,2395,Žitná 45,cz,Prague 1,4,1.2,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/382490678.jpg?k=3a4569f8d6b66dec66bbd52f1d4f53e84e35dc0fb9923a0ea6b8e39f4333dda0&o=
132,Hotel,9.9,1688,Haštalská 943/19,cz,Prague 1,4,0.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/259400451.jpg?k=35f353b2d09229f24d06dce03b1edf44c07ee064e93906a2827970315c7102d6&o=
133,Hotel,0.0,4112,Malletova 1141,cz,Prague 9,4,4.7,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/357930059.jpg?k=2551be7b289d6a669ae9e4b961d707833d79a24e8152f55b4d256db4b0379b4c&o=
134,Hotel,9.7,806,Rásnovka 783,cz,Prague 1,4,0.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/247614071.jpg?k=6125bdf394bd69fe1320eb050788e2491620744a75d97701ea5f29ef6b8037bb&o=
135,Hotel,0.0,550,Újezd 428/34,cz,Prague 1,4,1.3,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/49133035.jpg?k=12bb7fbb26c2d5a77ca9be6b6ae26ea0d299359017ec68b0c3d7873230d6b30f&o=
136,Hotel,9.9,1940,Dražického náměstí 12,cz,Prague 1,4,0.001,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/163486940.jpg?k=3a85fa8a9c0b95415e9f1128b69730b807793403b62dafee97d1a16622a27d28&o=
137,Hotel,9.7,3474,Panska 9,cz,Prague 1,4,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/385585102.jpg?k=32949949e6cb352e5ecae20f4e47f3998d781a217b7140eaf1ec0edc723fc04a&o=
138,Residence,9.8,122,Staromestske Namesti 20,cz,Prague 1,5,0.03,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/213765605.jpg?k=7367fe5cb197c82c97cd930037c6402c81acd5eba27daece3ef349a35dc000a7&o=
139,Residence,9.8,264,9 Rybná,cz,Prague 1,4,0.4,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/281027808.jpg?k=f99dbe63fb642bca678c556203590f2102aaa97ca320f52cfd42ebab46a0780f&o=
140,Hotel,0.0,4831,Svobodova 1,cz,Prague 2,4,2.1,C,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/422179909.jpg?k=63abd63b4e7c93fbc79fa4318e47c1777abef1f1d166e130353ecc424da26845&o=
141,Apartment,9.7,1211,"Praha 1, Nové Město Spálená 59",cz,Prague 1,3,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/209391882.jpg?k=d0de29cf35f5712142e74201a28f726713e1156222f85eed1833633d8043393e&o=
142,Boutique,0.0,385,11 Jagellonská,cz,Prague 3,4,2.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/350758883.jpg?k=343d21976d0f6cff59138b82ecb79a2e3b492195475c56975c1e0b65414aa334&o=
